Id,Label,modularity_class,degree
0,0,22,1
2,2,19,1
3,3,16,1
4,4,17,1
6,6,17,1
8,8,17,1
9,9,21,1
10,10,23,3
11,11,1,1
12,12,21,3
13,13,1,1
14,14,21,1
15,15,14,3
17,17,14,14
18,18,20,1
20,20,9,1
21,21,25,2
22,22,14,1
23,23,9,2
24,24,3,1
25,25,7,7
27,27,20,3
29,29,0,23
30,30,14,3
31,31,20,20
32,32,7,14
33,33,11,2
34,34,25,2
35,35,23,2
37,37,10,19
38,38,12,2
39,39,15,21
41,41,24,1
42,42,5,1
43,43,5,1
46,46,16,2
48,48,7,1
49,49,16,3
50,50,16,1
55,55,12,1
57,57,19,14
58,58,0,1
61,61,0,4
62,62,20,1
63,63,14,1
67,67,17,1
68,68,8,1
69,69,0,2
70,70,2,1
74,74,11,2
75,75,7,2
77,77,7,1
78,78,19,1
79,79,3,2
80,80,3,11
81,81,9,1
82,82,11,1
83,83,3,12
84,84,16,14
85,85,1,1
87,87,25,1
88,88,15,1
89,89,22,1
90,90,15,1
91,91,23,2
92,92,18,1
93,93,4,1
95,95,19,22
96,96,5,2
97,97,1,1
98,98,3,8
99,99,16,3
100,100,3,1
101,101,12,19
102,102,5,1
103,103,3,3
107,107,1,1
109,109,10,4
110,110,6,1
111,111,19,2
112,112,15,14
113,113,17,1
114,114,25,2
115,115,12,2
116,116,6,1
119,119,25,17
120,120,13,1
126,126,11,19
127,127,1,1
129,129,25,3
132,132,6,3
133,133,24,1
134,134,19,2
135,135,15,3
136,136,2,2
137,137,14,1
138,138,25,2
139,139,23,1
140,140,19,1
143,143,11,1
145,145,4,11
146,146,12,3
147,147,4,3
148,148,18,1
149,149,24,1
151,151,8,1
153,153,10,1
154,154,24,2
156,156,24,2
158,158,8,1
160,160,11,2
161,161,3,1
164,164,14,2
165,165,10,3
167,167,12,2
170,170,4,5
171,171,23,1
172,172,22,1
173,173,5,2
174,174,22,1
175,175,9,1
176,176,2,1
177,177,10,1
178,178,12,1
180,180,14,2
182,182,5,1
183,183,0,3
185,185,25,2
186,186,19,2
187,187,14,8
189,189,1,1
190,190,3,1
191,191,4,2
192,192,15,1
195,195,4,2
196,196,16,18
197,197,11,21
198,198,20,3
199,199,4,1
200,200,23,1
201,201,1,1
202,202,20,2
205,205,25,1
206,206,23,9
207,207,21,1
209,209,22,14
210,210,23,5
211,211,21,2
212,212,3,1
214,214,11,2
215,215,2,1
