Source,Target
0,1184
0,746
0,1483
0,1515
0,324
0,1507
0,482
0,366
0,391
0,1078
0,1264
0,527
0,332
0,1480
0,1277
0,429
0,877
1,1384
1,417
1,991
1,782
1,1599
1,1692
1,1541
1,120
1,1368
1,1015
2,1872
2,990
2,1415
2,490
2,1028
2,104
2,636
2,615
2,1331
3,711
3,630
3,1790
3,1876
3,247
3,978
3,821
4,377
4,591
4,857
4,1513
4,37
4,123
4,1049
4,1421
4,766
5,1523
5,1258
5,999
6,1249
6,640
6,502
6,1024
6,1062
6,822
7,1458
7,1774
7,1904
7,1125
7,2063
7,1116
7,247
7,1185
7,1074
7,1937
7,1919
7,1856
8,755
8,881
8,709
8,742
8,793
8,246
8,738
8,2077
9,406
9,1759
9,58
9,980
9,2031
9,1018
9,380
10,1617
11,1292
11,996
11,1772
11,95
11,1206
11,1232
11,367
11,1630
11,2026
11,196
11,1923
11,1156
14,1159
14,1256
14,2068
14,1216
14,1030
14,1796
14,1061
14,147
14,940
14,640
14,1900
14,1699
14,660
14,1589
14,915
14,2
15,1300
15,1748
15,1451
15,505
15,526
15,1078
15,1949
15,1124
15,589
15,2038
15,403
15,13
15,212
15,947
15,117
15,1408
15,1009
15,487
15,987
16,1588
16,297
16,156
17,1131
17,1169
17,164
17,156
17,170
17,1585
17,1637
17,1895
17,328
17,63
17,1679
17,223
17,1069
18,1137
18,1654
18,1845
18,852
18,1512
18,580
18,1032
18,160
20,105
20,104
20,1815
20,269
20,1442
20,1357
20,509
22,213
22,1261
22,814
22,2075
22,1003
22,1126
23,1984
24,187
24,1576
24,2002
24,770
24,102
24,473
24,1811
24,241
24,423
24,1371
24,1881
24,2038
24,1639
24,2015
24,108
24,1406
24,404
24,901
24,1913
25,1681
25,224
25,1024
25,1304
25,426
26,161
26,1881
26,1995
26,697
27,598
27,367
27,705
27,1208
27,1051
27,1526
27,253
27,807
27,2093
27,133
27,834
27,178
27,1905
27,637
27,603
27,561
29,1385
29,1137
29,1735
29,451
29,975
29,1856
29,1797
29,395
29,1103
29,1161
29,715
29,994
29,211
29,1111
29,1080
29,2058
29,512
29,2059
29,847
30,73
30,670
30,74
30,1960
30,1752
30,665
30,1344
30,1486
30,404
30,2031
30,1200
30,31
30,1885
31,103
31,572
31,714
31,1996
31,383
31,914
31,307
31,882
31,1931
31,1356
31,49
31,2108
31,39
31,1580
31,258
31,938
32,879
32,1238
32,320
32,1765
32,1189
32,1672
32,1753
32,2058
32,2079
32,562
32,861
33,402
33,2084
34,1000
34,2026
34,2018
34,439
34,3
34,1740
34,1164
34,1328
34,54
34,984
34,1915
34,1025
34,1999
35,1961
35,1910
35,1378
35,575
35,146
35,74
35,195
35,393
35,456
35,1070
35,1716
35,1330
35,839
35,419
36,1652
36,11
36,536
36,1064
36,598
36,1233
36,1291
36,1293
36,339
36,858
36,1416
36,1122
36,390
36,1901
36,628
36,1023
37,1592
37,528
37,875
37,2085
37,1316
37,138
37,1571
37,1241
37,798
37,1738
37,1664
37,1277
37,384
37,625
37,1725
37,1634
37,1885
37,1765
38,1852
38,1962
38,2103
38,1084
39,1697
39,1299
39,984
39,1728
39,192
39,1869
39,1275
39,423
39,1614
39,771
39,1060
39,90
39,603
39,349
39,265
39,756
39,1084
39,390
39,1170
40,939
40,1308
40,1672
40,379
41,1543
41,498
41,867
41,1719
41,915
41,1612
41,625
41,1927
41,1241
41,918
41,501
41,1235
41,1247
42,31
42,1803
42,1308
43,1241
43,134
43,2054
43,1903
43,27
43,1460
43,1356
43,911
43,1823
43,1281
43,1172
43,1440
43,2047
43,5
43,1011
43,327
44,984
44,658
44,1
44,1699
44,53
44,1269
44,334
44,1209
44,240
44,647
44,1236
45,1647
45,1890
45,1149
45,1650
45,1105
45,2049
45,318
45,874
45,1682
45,2099
45,854
45,74
45,389
45,1486
45,2075
46,654
46,815
46,1022
46,263
46,459
47,1061
47,1559
47,1244
48,22
48,1228
48,1968
48,1125
48,1649
48,1296
48,6
48,1579
48,1821
48,503
48,145
48,127
48,868
48,1250
48,110
48,3
48,1709
48,1619
48,313
49,1901
49,1264
49,240
49,1709
49,996
49,1577
49,804
49,1925
51,944
51,1478
51,845
51,566
51,1192
51,804
51,1128
51,229
51,277
51,987
51,1626
51,251
51,2059
52,1426
52,1138
52,1998
52,1253
52,491
53,802
53,407
53,1956
53,1776
53,766
53,1176
54,1114
54,239
54,1103
54,1987
54,1482
54,885
54,8
55,76
55,1416
55,224
55,59
55,773
55,870
55,734
55,607
55,638
55,940
55,136
55,2026
