id,Gender,Age,Height,Weight
0,Female,21.0,1.62,64.0
1,Female,21.0,1.52,56.0
2,Male,23.0,1.8,77.0
3,Male,27.0,1.8,87.0
4,Male,22.0,1.78,89.8
5,Male,29.0,1.62,53.0
6,Female,23.0,1.5,55.0
7,Male,22.0,1.64,53.0
8,Male,24.0,1.78,64.0
9,Male,22.0,1.72,68.0
10,Male,26.0,1.85,105.0
11,Female,21.0,1.72,80.0
12,Male,22.0,1.65,56.0
13,Male,41.0,1.8,99.0
14,Male,23.0,1.77,60.0
15,Female,22.0,1.7,66.0
16,Male,27.0,1.93,102.0
17,Female,29.0,1.53,78.0
18,Female,30.0,1.71,82.0
19,Female,23.0,1.65,70.0
20,Male,22.0,1.65,80.0
21,Female,52.0,1.69,87.0
22,Female,22.0,1.65,60.0
23,Female,22.0,1.6,82.0
24,Male,21.0,1.85,68.0
25,Male,20.0,1.6,50.0
26,Male,21.0,1.7,65.0
27,Female,23.0,1.6,52.0
28,Male,19.0,1.75,76.0
29,Male,23.0,1.68,70.0
30,Male,29.0,1.77,83.0
31,Female,31.0,1.58,68.0
32,Female,24.0,1.77,76.0
33,Male,39.0,1.79,90.0
34,Male,22.0,1.65,62.0
35,Female,21.0,1.5,65.0
36,Female,22.0,1.56,49.0
37,Female,21.0,1.6,48.0
38,Male,23.0,1.65,67.0
39,Female,21.0,1.75,88.0
40,Female,21.0,1.67,75.0
41,Male,23.0,1.68,60.0
42,Female,21.0,1.66,64.0
43,Male,21.0,1.66,62.0
44,Male,21.0,1.81,80.0
45,Female,21.0,1.53,65.0
46,Male,21.0,1.82,72.0
47,Male,21.0,1.75,72.0
48,Female,20.0,1.66,60.0
49,Female,21.0,1.55,50.0
50,Female,21.0,1.61,54.5
51,Female,20.0,1.5,44.0
52,Female,23.0,1.64,52.0
53,Female,23.0,1.63,55.0
54,Female,22.0,1.6,55.0
55,Male,23.0,1.68,62.0
56,Male,22.0,1.7,70.0
57,Male,21.0,1.64,65.0
58,Female,17.0,1.65,67.0
59,Male,20.0,1.76,55.0
60,Female,21.0,1.55,49.0
61,Male,20.0,1.65,58.0
62,Male,22.0,1.67,62.0
63,Male,22.0,1.68,55.0
64,Female,21.0,1.66,57.0
65,Female,21.0,1.62,69.0
66,Male,23.0,1.8,90.0
67,Male,23.0,1.65,95.0
68,Male,30.0,1.76,112.0
69,Male,23.0,1.8,60.0
70,Female,23.0,1.65,80.0
71,Female,22.0,1.67,50.0
72,Female,24.0,1.65,60.0
73,Male,19.0,1.85,65.0
74,Male,24.0,1.7,85.0
75,Female,23.0,1.63,45.0
76,Female,24.0,1.6,45.0
77,Female,24.0,1.7,80.0
78,Female,23.0,1.65,90.0
79,Male,23.0,1.65,60.0
80,Female,19.0,1.63,58.0
81,Male,30.0,1.8,91.0
82,Male,23.0,1.67,85.5
83,Female,19.0,1.6,45.0
84,Male,25.0,1.7,83.0
85,Male,23.0,1.65,58.5
86,Male,21.0,1.85,83.0
87,Male,19.0,1.82,87.0
88,Female,22.0,1.65,65.0
89,Female,29.0,1.7,78.0
90,Female,25.0,1.63,93.0
91,Female,20.0,1.61,64.0
92,Male,55.0,1.78,84.0
93,Female,20.0,1.6,57.0
94,Female,24.0,1.6,48.0
95,Male,26.0,1.7,70.0
96,Female,23.0,1.66,60.0
97,Female,21.0,1.52,42.0
98,Female,21.0,1.52,42.0
99,Male,23.0,1.72,70.0
100,Female,21.0,1.69,63.0
101,Male,22.0,1.7,66.4
102,Female,21.0,1.55,57.0
103,Female,22.0,1.65,58.0
104,Female,38.0,1.56,80.0
105,Female,25.0,1.57,55.0
106,Female,25.0,1.57,55.0
107,Male,22.0,1.88,90.0
108,Male,22.0,1.75,95.0
109,Female,21.0,1.65,88.0
110,Male,21.0,1.75,75.0
111,Female,22.0,1.58,58.0
112,Female,18.0,1.56,51.0
113,Female,22.0,1.5,49.0
114,Female,19.0,1.61,62.0
115,Female,17.0,1.75,57.0
116,Female,15.0,1.65,86.0
117,Female,17.0,1.7,85.0
118,Male,23.0,1.62,53.0
119,Female,19.0,1.63,76.0
120,Female,23.0,1.67,75.0
121,Male,23.0,1.87,95.0
122,Male,21.0,1.75,50.0
123,Male,24.0,1.66,67.0
124,Male,23.0,1.76,90.0
125,Male,18.0,1.75,80.0
126,Male,19.0,1.67,68.0
127,Female,19.0,1.65,61.0
128,Male,20.0,1.72,70.0
129,Male,27.0,1.7,78.0
130,Female,20.0,1.58,53.0
131,Male,23.0,1.62,58.0
132,Female,19.0,1.65,56.0
133,Female,61.0,1.65,66.0
134,Male,30.0,1.77,109.0
135,Male,24.0,1.7,75.0
136,Male,25.0,1.79,72.0
137,Male,44.0,1.6,80.0
138,Male,31.0,1.76,75.0
139,Male,25.0,1.7,68.0
140,Male,23.0,1.89,65.0
141,Male,25.0,1.87,66.0
142,Male,23.0,1.74,93.5
143,Female,34.0,1.68,75.0
144,Male,22.0,1.61,67.0
145,Male,21.0,1.62,70.0
146,Female,24.0,1.56,51.0
147,Female,36.0,1.63,80.0
148,Female,27.0,1.6,61.0
149,Female,32.0,1.67,90.0
150,Male,25.0,1.78,78.0
151,Female,30.0,1.62,59.0
152,Female,38.0,1.5,60.0
153,Male,34.0,1.69,84.0
154,Male,22.0,1.74,94.0
155,Female,31.0,1.68,63.0
156,Female,35.0,1.53,45.0
157,Male,21.0,1.67,60.0
158,Female,40.0,1.55,62.0
159,Male,27.0,1.64,78.0
160,Male,20.0,1.83,72.0
161,Male,55.0,1.65,80.0
162,Female,21.0,1.63,60.0
163,Male,25.0,1.89,75.0
164,Male,35.0,1.77,85.0
165,Male,30.0,1.92,130.0
166,Female,29.0,1.74,72.0
167,Male,20.0,1.65,80.0
168,Female,22.0,1.73,79.0
169,Female,45.0,1.63,77.0
170,Male,22.0,1.72,82.0
171,Male,18.0,1.6,58.0
172,Female,23.0,1.65,59.0
173,Male,18.0,1.74,64.0
174,Male,21.0,1.62,70.0
175,Female,38.0,1.64,59.8
176,Female,18.0,1.57,48.0
177,Male,22.0,1.84,84.0
178,Male,26.0,1.91,84.0
179,Male,21.0,1.62,70.0
180,Female,18.0,1.58,48.0
181,Female,23.0,1.68,67.0
182,Female,22.0,1.68,52.0
183,Female,23.0,1.48,60.0
184,Male,21.0,1.62,70.0
185,Female,31.0,1.62,68.0
186,Male,39.0,1.78,96.0
187,Male,25.0,1.78,98.0
188,Male,35.0,1.78,105.0
189,Female,33.0,1.63,62.0
190,Male,20.0,1.6,56.0
191,Male,26.0,1.75,80.0
192,Male,20.0,1.83,85.0
193,Male,20.0,1.78,68.0
194,Female,23.0,1.6,83.0
195,Male,19.0,1.8,85.0
196,Male,22.0,1.75,74.0
197,Male,41.0,1.75,118.0
198,Female,18.0,1.59,40.0
199,Female,23.0,1.66,60.0
200,Female,23.0,1.63,83.0
201,Female,41.0,1.54,80.0
202,Female,26.0,1.56,102.0
203,Male,29.0,1.69,90.0
204,Male,27.0,1.83,71.0
205,Female,23.0,1.6,78.0
206,Male,19.0,1.75,100.0
207,Male,30.0,1.75,73.0
208,Female,22.0,1.69,65.0
209,Female,22.0,1.69,65.0
210,Male,20.0,1.8,114.0
211,Female,21.0,1.63,51.0
212,Female,24.0,1.5,63.0
213,Male,21.0,1.8,62.0
214,Male,21.0,1.65,53.0
215,Male,21.0,1.68,70.0
216,Female,23.0,1.6,63.0
217,Male,21.0,1.71,75.0
218,Female,21.0,1.5,42.3
219,Female,21.0,1.6,68.0
220,Female,21.0,1.75,78.0
221,Male,23.0,1.72,82.0
222,Female,21.0,1.72,66.5
223,Female,22.0,1.61,63.0
224,Female,23.0,1.63,82.0
225,Male,25.0,1.83,121.0
226,Female,20.0,1.6,50.0
227,Female,24.0,1.62,58.0
228,Female,40.0,1.68,80.0
229,Male,32.0,1.75,120.0
230,Male,20.0,1.9,91.0
231,Female,21.0,1.63,66.0
232,Female,51.0,1.59,50.0
233,Female,34.0,1.68,77.0
234,Female,19.0,1.59,49.0
235,Female,19.0,1.69,70.0
236,Female,21.0,1.66,59.0
237,Female,19.0,1.64,53.0
238,Female,20.0,1.62,53.0
239,Female,19.0,1.7,64.0
240,Female,17.0,1.63,65.0
241,Male,22.0,1.6,66.0
242,Female,20.0,1.63,64.0
243,Male,33.0,1.85,99.0
244,Female,21.0,1.54,49.0
245,Female,20.0,1.64,49.0
246,Female,20.0,1.57,60.0
247,Female,20.0,1.62,52.0
248,Male,21.0,1.72,72.0
249,Male,21.0,1.76,78.0
250,Female,20.0,1.65,75.0
251,Male,20.0,1.67,78.0
252,Male,56.0,1.79,90.0
253,Female,26.0,1.59,47.0
254,Female,22.0,1.64,56.0
255,Male,19.0,1.78,81.0
256,Male,18.0,1.75,85.0
257,Male,19.0,1.85,115.0
258,Male,18.0,1.7,80.0
259,Female,18.0,1.67,91.0
260,Male,21.0,1.72,75.0
261,Female,28.0,1.7,73.0
262,Male,18.0,1.74,70.0
263,Male,23.0,1.74,53.0
264,Male,18.0,1.87,67.0
265,Male,18.0,1.7,50.0
266,Female,39.0,1.65,50.0
267,Male,38.0,1.7,78.0
268,Male,17.0,1.67,60.0
269,Male,23.0,1.72,66.0
270,Male,23.0,1.82,107.0
271,Female,19.0,1.5,50.0
272,Male,18.0,1.7,60.0
273,Male,25.0,1.71,71.0
274,Female,25.0,1.61,61.0
275,Female,18.0,1.5,50.0
276,Male,16.0,1.67,50.0
277,Male,21.0,1.82,67.0
278,Female,32.0,1.57,57.0
279,Male,18.0,1.79,52.0
280,Male,21.0,1.75,62.0
281,Male,18.0,1.7,55.0
282,Female,18.0,1.62,55.0
283,Male,17.0,1.69,60.0
284,Male,20.0,1.77,70.0
285,Male,21.0,1.79,105.0
286,Female,21.0,1.6,61.0
287,Female,18.0,1.6,58.0
288,Female,17.0,1.56,51.0
289,Male,19.0,1.88,79.0
290,Male,16.0,1.82,71.0
291,Male,17.0,1.8,58.0
292,Male,21.0,1.7,65.0
293,Male,19.0,1.82,75.0
294,Male,18.0,1.86,110.0
295,Female,16.0,1.66,58.0
296,Female,21.0,1.53,53.0
297,Male,26.0,1.74,80.0
298,Male,18.0,1.8,80.0
299,Male,23.0,1.7,75.0
300,Male,26.0,1.7,70.0
301,Male,18.0,1.72,55.0
302,Male,16.0,1.84,45.0
303,Female,16.0,1.57,49.0
304,Male,20.0,1.8,85.0
305,Male,23.0,1.75,120.0
306,Female,24.0,1.56,60.0
307,Female,23.0,1.59,48.0
308,Male,20.0,1.8,75.0
309,Female,16.0,1.66,58.0
310,Male,17.0,1.79,57.0
311,Male,17.0,1.72,62.0
312,Female,16.0,1.6,57.0
313,Male,17.0,1.66,56.0
314,Female,26.0,1.65,63.0
315,Male,26.0,1.7,72.0
316,Male,38.0,1.75,75.0
317,Male,18.0,1.75,70.0
318,Female,25.0,1.56,45.0
319,Female,27.0,1.55,63.0
320,Male,21.0,1.67,67.0
321,Male,38.0,1.75,75.0
322,Female,23.0,1.75,56.0
323,Male,18.0,1.8,72.0
324,Female,30.0,1.65,71.0
325,Female,21.0,1.55,58.0
326,Male,18.0,1.7,55.3
327,Male,23.0,1.72,76.0
328,Male,19.0,1.74,74.0
329,Female,19.0,1.65,82.0
330,Female,17.0,1.8,50.0
331,Male,17.0,1.74,56.0
332,Male,27.0,1.85,75.0
333,Female,23.0,1.7,56.0
334,Female,18.0,1.45,53.0
335,Male,19.0,1.7,50.0
336,Male,20.0,1.7,65.0
337,Male,18.0,1.78,64.4
338,Female,17.0,1.6,65.0
339,Female,19.0,1.53,42.0
340,Male,21.0,1.8,72.0
341,Male,20.0,1.6,50.0
342,Male,23.0,1.74,105.0
343,Male,23.0,1.65,66.0
344,Male,18.0,1.87,173.0
345,Male,17.0,1.7,55.0
346,Female,21.0,1.54,47.0
347,Male,17.0,1.8,97.0
348,Male,18.0,1.82,80.0
349,Male,20.0,1.98,125.0
350,Male,17.0,1.75,70.0
351,Female,26.0,1.65,60.0
352,Female,17.0,1.6,53.0
353,Female,24.0,1.6,51.0
354,Female,17.0,1.6,59.0
355,Female,27.0,1.55,62.0
356,Male,17.0,1.9,60.0
357,Female,17.0,1.7,56.0
358,Male,41.0,1.75,110.0
359,Female,33.0,1.56,48.0
360,Male,20.0,1.87,75.0
361,Female,40.0,1.56,80.0
362,Female,37.0,1.65,73.0
363,Male,19.0,1.8,80.0
364,Male,24.0,1.84,86.0
365,Male,24.0,1.7,68.0
366,Male,33.0,1.72,83.0
367,Female,40.0,1.58,63.0
368,Female,37.0,1.68,83.0
369,Male,20.0,1.58,74.0
370,Male,19.0,1.8,60.0
371,Male,17.0,1.62,69.0
372,Female,18.0,1.62,58.0
373,Female,21.0,1.54,56.0
374,Male,18.0,1.76,70.0
375,Male,41.0,1.8,92.0
376,Female,36.0,1.58,60.0
377,Male,18.0,1.76,68.0
378,Male,18.0,1.73,70.0
379,Male,17.0,1.7,70.0
380,Male,25.0,1.7,83.0
381,Male,21.0,1.8,75.0
382,Female,29.0,1.6,56.0
383,Male,17.0,1.7,98.0
384,Female,18.0,1.6,60.0
385,Female,16.0,1.55,45.0
386,Female,18.0,1.59,53.0
387,Female,37.0,1.5,75.0
388,Male,18.0,1.78,108.0
389,Female,16.0,1.61,65.0
390,Male,23.0,1.71,50.0
391,Female,18.0,1.7,50.0
392,Male,18.0,1.76,69.5
393,Male,18.0,1.7,78.0
394,Female,17.0,1.53,55.0
395,Female,20.0,1.54,39.0
396,Female,38.0,1.55,59.0
397,Male,20.0,1.66,60.0
398,Male,21.0,1.85,125.0
399,Male,21.0,1.65,60.0
400,Male,18.0,1.65,70.0
401,Male,26.0,1.83,82.0
402,Male,27.0,1.83,99.0
403,Female,26.0,1.66,112.0
404,Male,34.0,1.78,73.0
405,Male,18.0,1.74,86.0
406,Male,33.0,1.76,66.5
407,Female,19.0,1.51,59.0
408,Male,20.0,1.81,79.0
409,Female,33.0,1.55,55.0
410,Male,20.0,1.83,66.0
411,Female,20.0,1.6,65.0
412,Male,33.0,1.85,85.0
413,Male,33.0,1.75,85.0
414,Male,33.0,1.83,113.0
415,Male,14.0,1.71,72.0
416,Male,34.0,1.84,88.0
417,Male,18.0,1.77,87.0
418,Male,18.0,1.7,90.0
419,Male,29.0,1.62,89.0
420,Male,18.0,1.85,60.0
421,Male,18.0,1.84,60.0
422,Male,19.0,1.75,58.0
423,Male,33.0,1.85,93.0
424,Male,33.0,1.74,76.0
425,Female,19.0,1.61,53.8
426,Male,22.0,1.75,70.0
427,Female,20.0,1.67,60.0
428,Male,23.0,1.7,69.0
429,Male,26.0,1.9,80.0
430,Male,18.0,1.65,85.0
431,Female,18.0,1.6,55.0
432,Male,19.0,1.8,70.0
433,Female,18.0,1.64,59.0
434,Male,19.0,1.89,87.0
435,Female,19.0,1.76,80.0
436,Female,18.0,1.56,55.0
437,Female,18.0,1.6,56.0
438,Female,19.0,1.67,64.0
439,Female,19.0,1.6,60.0
440,Female,18.0,1.55,56.0
441,Female,18.0,1.55,50.0
442,Male,26.0,1.72,65.0
443,Male,18.0,1.72,53.0
444,Male,19.0,1.7,60.0
445,Female,19.0,1.51,45.0
446,Male,19.0,1.83,82.0
447,Male,19.0,1.8,87.0
448,Female,24.0,1.6,100.5
449,Female,18.0,1.63,63.0
450,Male,19.0,1.71,71.0
451,Male,19.0,1.7,65.0
452,Male,23.0,1.75,69.0
453,Female,18.0,1.62,50.0
454,Female,20.0,1.68,68.0
455,Male,18.0,1.85,66.0
456,Female,33.0,1.59,60.0
457,Female,19.0,1.5,45.0
458,Male,19.0,1.69,60.0
459,Male,19.0,1.76,79.0
460,Female,18.0,1.62,55.0
461,Male,21.0,1.71,100.0
462,Male,27.0,1.72,88.0
463,Male,17.0,1.8,68.0
464,Male,18.0,1.93,86.0
465,Female,18.0,1.6,51.0
466,Male,22.0,1.74,75.0
467,Male,22.0,1.74,75.0
468,Female,20.0,1.62,45.0
469,Female,19.0,1.54,42.0
470,Female,20.0,1.56,51.5
471,Female,18.0,1.6,83.0
472,Female,18.0,1.54,71.0
473,Female,18.0,1.63,51.0
474,Male,19.0,1.78,64.0
475,Female,18.0,1.62,68.0
476,Female,18.0,1.71,75.0
477,Female,18.0,1.64,56.0
478,Male,19.0,1.69,65.0
479,Female,17.0,1.58,50.0
480,Female,18.0,1.57,50.0
481,Male,18.0,1.74,64.0
482,Female,20.0,1.58,53.5
483,Female,18.0,1.5,58.0
484,Female,36.0,1.65,80.0
