name,value,colour
QUI-GON,61,#4f4fb1
NUTE GUNRAY,24,#808080
PK-4,3,#808080
TC-14,4,#808080
OBI-WAN,147,#48D1CC
DOFINE,3,#808080
RUNE,10,#808080
TEY HOW,4,#808080
EMPEROR,51,#191970
CAPTAIN PANAKA,19,#808080
SIO BIBBLE,8,#808080
JAR JAR,41,#9a9a00
TARPALS,3,#808080
BOSS NASS,4,#808080
PADME,74,#DDA0DD
RIC OLIE,11,#808080
WATTO,8,#808080
ANAKIN,131,#ce3b59
SEBULBA,3,#808080
JIRA,3,#808080
SHMI,11,#808080
C-3PO,150,#FFD700
DARTH MAUL,5,#808080
KITSTER,4,#808080
WALD,3,#808080
FODE/BEED,11,#808080
JABBA,7,#808080
GREEDO,3,#808080
VALORUM,3,#808080
MACE WINDU,22,#808080
KI-ADI-MUNDI,6,#808080
YODA,45,#9ACD32
RABE,2,#808080
BAIL ORGANA,23,#808080
GENERAL CEEL,4,#808080
BRAVO TWO,5,#808080
BRAVO THREE,3,#808080
CAPTAIN TYPHO,6,#808080
SENATOR ASK AAK,3,#808080
ORN FREE TAA,3,#808080
SOLA,3,#808080
JOBAL,3,#808080
RUWEE,4,#808080
TAUN WE,7,#808080
LAMA SU,8,#808080
BOBA FETT,10,#808080
JANGO FETT,5,#808080
OWEN,10,#808080
BERU,6,#808080
CLIEGG,3,#808080
COUNT DOOKU,9,#808080
SUN RIT,3,#808080
POGGLE,3,#808080
PLO KOON,3,#808080
ODD BALL,4,#808080
GENERAL GRIEVOUS,12,#808080
FANG ZAR,3,#808080
MON MOTHMA,4,#808080
GIDDEAN DANU,2,#808080
CLONE COMMANDER GREE,4,#808080
CLONE COMMANDER CODY,4,#808080
TION MEDON,3,#808080
CAPTAIN ANTILLES,3,#808080
DARTH VADER,58,#000000
LUKE,160,#3881e5
CAMIE,3,#808080
BIGGS,18,#808080
LEIA,98,#DCDCDC
MOTTI,3,#808080
TARKIN,12,#808080
HAN,169,#ff9400
DODONNA,3,#808080
GOLD LEADER,14,#808080
WEDGE,28,#808080
RED LEADER,33,#808080
RED TEN,8,#808080
GOLD FIVE,8,#808080
RIEEKAN,7,#808080
DERLIN,3,#808080
ZEV,6,#808080
PIETT,12,#808080
OZZEL,3,#808080
DACK,4,#808080
JANSON,4,#808080
NEEDA,3,#808080
LANDO,41,#808080
JERJERROD,3,#808080
BIB FORTUNA,3,#808080
BOUSHH,3,#808080
ADMIRAL ACKBAR,12,#808080
LOR SAN TEKKA,4,#808080
POE,30,#a15bea
KYLO REN,22,#000000
CAPTAIN PHASMA,6,#808080
FINN,63,#07b19f
UNKAR PLUTT,5,#808080
REY,56,#ffe0af
GENERAL HUX,14,#808080
LIEUTENANT MITAKA,3,#808080
BALA-TIK,4,#808080
SNOKE,4,#191970
MAZ,6,#808080
BB-8,2,#eb5d00
SNAP,5,#808080
ADMIRAL STATURA,3,#808080
YOLO ZIFF,3,#808080
COLONEL DATOO,3,#808080
ELLO ASTY,4,#808080
JESS,4,#808080
NIV LEK,3,#808080
